Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/21/18,WE8,60.47,19.07,84.63,1.63
6/12/18,WE8,107.93,19.29,21.69,1.22
6/25/18,WE8,57.99,26.86,88.65,0.68
7/2/18,WE8,67.76,22.18,7.57,2.73
7/9/18,WE8,48.79,16.51,101.56,1.9
7/16/18,WE8,33.84,7.1,112.63,1.54
7/23/18,WE8,37.87,6.1,7.53,1.01
7/30/18,WE8,27.91,4.99,8.87,0.95
8/6/18,WE8,22.61,3.95,4.03,0.55
8/13/18,WE8,25.82,6.1,4.55,0.33
8/20/18,WE8,42.3,8.12,4.3,0.22
8/27/18,WE8,43.44,7.68,2.6,0.08
9/4/18,WE8,44.79,11.56,6.19,0.08
9/11/18,WE8,41.05,17.53,16.6,0.3
9/17/18,WE8,33.59,10.58,3.93,0.18
9/25/18,WE8,58.6115,12.9125,14.42,0.13
10/1/18,WE8,36.456,7.924,6.11,0.23
